Modal Price beetroot,Date
900,2011/12/06
550,2011/12/06
900,2011/12/07
500,2011/12/07
850,2011/12/08
1000,2011/12/08
900,2011/12/09
1000,2011/12/09
1000,2011/12/10
550,2011/12/11
550,2011/12/12
700,2011/12/12
1000,2011/12/13
500,2011/12/13
700,2011/12/14
650,2011/12/15
450,2011/12/15
550,2011/12/16
600,2011/12/16
600,2011/12/17
750,2011/12/18
600,2011/12/18
850,2011/12/19
550,2011/12/19
600,2011/12/20
750,2011/12/20
700,2011/12/21
650,2011/12/21
550,2011/12/22
1000,2011/12/22
550,2011/12/23
800,2011/12/24
550,2011/12/25
750,2011/12/26
600,2011/12/27
600,2011/12/28
500,2011/12/28
600,2011/12/29
500,2011/12/30
700,2012/01/01
700,2012/01/02
800,2012/01/02
600,2012/01/03
600,2012/01/04
800,2012/01/04
500,2012/01/05
700,2012/01/05
800,2012/01/06
700,2012/01/07
900,2012/01/08
500,2012/01/08
650,2012/01/09
700,2012/01/10
600,2012/01/11
400,2012/01/11
550,2012/01/12
1000,2012/01/12
600,2012/01/13
750,2012/01/14
750,2012/01/14
700,2012/01/15
700,2012/01/16
1100,2012/01/16
1000,2012/01/17
500,2012/01/17
650,2012/01/19
800,2012/01/19
1100,2012/01/20
1000,2012/01/21
950,2012/01/22
950,2012/01/23
1250,2012/01/24
900,2012/01/25
600,2012/01/28
950,2012/01/29
750,2012/01/30
600,2012/01/30
700,2012/01/31
600,2012/01/31
800,2012/02/01
750,2012/02/02
600,2012/02/03
800,2012/02/03
800,2012/02/04
850,2012/02/05
850,2012/02/06
900,2012/02/07
700,2012/02/08
850,2012/02/09
850,2012/02/10
1000,2012/02/10
900,2012/02/13
1200,2012/02/14
1000,2012/02/14
700,2012/02/15
800,2012/02/17
1000,2012/02/19
800,2012/02/20
800,2012/02/21
1350,2012/02/21
900,2012/02/22
900,2012/02/23
600,2012/02/24
1000,2012/02/24
1050,2012/02/25
700,2012/02/26
800,2012/02/27
850,2012/02/27
900,2012/02/28
500,2012/02/28
700,2012/02/29
650,2012/02/29
650,2012/03/01
1250,2012/03/01
650,2012/03/02
1000,2012/03/03
950,2012/03/04
750,2012/03/04
950,2012/03/05
600,2012/03/06
800,2012/03/07
750,2012/03/09
900,2012/03/12
800,2012/03/13
1000,2012/03/13
800,2012/03/14
850,2012/03/15
850,2012/03/16
900,2012/03/18
850,2012/03/19
850,2012/03/20
800,2012/03/21
950,2012/03/22
900,2012/03/23
1000,2012/03/24
800,2012/03/25
800,2012/03/26
2000,2012/03/26
800,2012/03/27
1050,2012/03/28
1000,2012/03/28
1050,2012/03/29
800,2012/03/30
1200,2012/03/31
900,2012/04/03
900,2012/04/04
900,2012/04/05
900,2012/04/06
850,2012/04/08
800,2012/04/09
1000,2012/04/09
900,2012/04/10
1000,2012/04/10
1500,2012/04/11
900,2012/04/12
800,2012/04/12
900,2012/04/13
1000,2012/04/13
800,2012/04/15
950,2012/04/16
950,2012/04/17
800,2012/04/18
800,2012/04/20
800,2012/04/21
900,2012/04/22
500,2012/04/22
900,2012/04/23
850,2012/04/23
850,2012/04/24
500,2012/04/24
750,2012/04/26
750,2012/04/27
1200,2012/04/27
1000,2012/04/28
800,2012/04/29
1000,2012/05/03
800,2012/05/04
850,2012/05/07
800,2012/05/08
900,2012/05/09
800,2012/05/10
700,2012/05/13
600,2012/05/16
700,2012/05/17
700,2012/05/18
700,2012/05/20
650,2012/05/21
1000,2012/05/21
550,2012/05/22
650,2012/05/23
650,2012/05/25
650,2012/05/27
650,2012/05/28
750,2012/05/29
650,2012/05/30
500,2012/05/31
1000,2012/05/31
650,2012/06/01
850,2012/06/03
750,2012/06/04
800,2012/06/05
800,2012/06/06
800,2012/06/07
800,2012/06/08
800,2012/06/10
800,2012/06/11
950,2012/06/12
900,2012/06/13
1200,2012/06/14
1200,2012/06/15
1500,2012/06/17
1300,2012/06/18
1150,2012/06/19
1200,2012/06/20
1150,2012/06/24
1150,2012/06/25
1150,2012/06/26
1250,2012/06/27
1100,2012/06/28
1250,2012/06/29
1000,2012/06/30
1150,2012/07/01
1150,2012/07/02
1350,2012/07/04
1150,2012/07/05
1300,2012/07/06
1400,2012/07/08
1250,2012/07/09
1250,2012/07/10
1300,2012/07/11
1300,2012/07/12
1200,2012/07/13
1250,2012/07/15
1250,2012/07/16
1250,2012/07/17
1100,2012/07/19
1250,2012/07/20
1150,2012/07/22
1250,2012/07/23
1100,2012/07/24
1100,2012/07/25
1150,2012/07/26
1250,2012/07/27
1150,2012/07/29
1150,2012/07/30
1050,2012/07/31
1400,2012/08/01
800,2012/08/01
1150,2012/08/02
700,2012/08/02
1250,2012/08/03
1000,2012/08/04
1200,2012/08/05
1100,2012/08/06
900,2012/08/07
1100,2012/08/08
950,2012/08/09
850,2012/08/10
850,2012/08/12
850,2012/08/13
900,2012/08/14
1000,2012/08/16
800,2012/08/17
900,2012/08/19
600,2012/08/20
800,2012/08/21
550,2012/08/22
750,2012/08/26
700,2012/08/27
700,2012/08/28
650,2012/08/29
450,2012/08/30
350,2012/09/02
450,2012/09/03
400,2012/09/04
500,2012/09/07
450,2012/09/09
450,2012/09/10
500,2012/09/12
500,2012/09/13
500,2012/09/14
750,2012/09/16
650,2012/09/17
500,2012/09/18
450,2012/09/19
450,2012/09/20
450,2012/09/21
450,2012/09/23
400,2012/09/24
450,2012/09/25
400,2012/09/26
550,2012/09/27
500,2012/09/28
450,2012/10/01
450,2012/10/03
450,2012/10/04
400,2012/10/05
500,2012/10/07
400,2012/10/08
400,2012/10/09
450,2012/10/11
400,2012/10/12
450,2012/10/14
450,2012/10/15
450,2012/10/16
450,2012/10/17
500,2012/10/18
500,2012/10/21
500,2012/10/22
450,2012/10/23
450,2012/10/26
450,2012/10/28
450,2012/10/29
450,2012/10/30
400,2012/10/31
450,2012/11/01
450,2012/11/02
450,2012/11/04
450,2012/11/06
550,2012/11/08
500,2012/11/09
500,2012/11/11
450,2012/11/12
450,2012/11/13
500,2012/11/16
350,2012/11/18
650,2012/11/19
1000,2012/11/20
750,2012/11/21
750,2012/11/22
850,2012/11/23
650,2012/11/25
650,2012/11/26
700,2012/11/27
650,2012/11/28
700,2012/11/29
700,2012/11/30
700,2012/12/10
600,2012/12/11
700,2012/12/12
550,2012/12/16
550,2012/12/17
900,2012/12/17
600,2012/12/18
600,2012/12/19
550,2012/12/20
550,2012/12/21
550,2012/12/27
550,2012/12/28
600,2012/12/30
550,2012/12/31
550,2013/01/01
400,2013/01/01
550,2013/01/02
600,2013/01/02
500,2013/01/03
800,2013/01/03
550,2013/01/04
500,2013/01/04
500,2013/01/05
500,2013/01/06
500,2013/01/06
650,2013/01/07
450,2013/01/07
500,2013/01/08
550,2013/01/09
500,2013/01/10
550,2013/01/10
500,2013/01/11
1000,2013/01/11
500,2013/01/13
500,2013/01/14
500,2013/01/15
600,2013/01/16
550,2013/01/17
450,2013/01/17
550,2013/01/18
350,2013/01/18
350,2013/01/19
550,2013/01/20
400,2013/01/20
500,2013/01/21
1200,2013/01/21
500,2013/01/22
600,2013/01/22
500,2013/01/23
500,2013/01/24
500,2013/01/25
250,2013/01/25
500,2013/01/27
500,2013/01/28
400,2013/01/28
450,2013/01/29
800,2013/01/29
450,2013/01/30
500,2013/02/01
200,2013/02/01
500,2013/02/02
500,2013/02/03
400,2013/02/03
750,2013/02/04
450,2013/02/05
750,2013/02/05
450,2013/02/06
500,2013/02/06
450,2013/02/10
500,2013/02/10
450,2013/02/11
600,2013/02/11
450,2013/02/12
500,2013/02/13
500,2013/02/14
400,2013/02/14
500,2013/02/15
500,2013/02/15
450,2013/02/17
400,2013/02/17
600,2013/02/18
450,2013/02/19
700,2013/02/19
450,2013/02/20
300,2013/02/20
450,2013/02/21
650,2013/02/21
500,2013/02/24
450,2013/02/25
500,2013/02/25
500,2013/02/26
650,2013/02/26
500,2013/03/01
300,2013/03/03
600,2013/03/04
500,2013/03/05
500,2013/03/05
450,2013/03/07
400,2013/03/07
450,2013/03/08
600,2013/03/09
450,2013/03/10
450,2013/03/11
600,2013/03/12
500,2013/03/12
450,2013/03/14
450,2013/03/15
500,2013/03/15
500,2013/03/16
450,2013/03/17
500,2013/03/18
500,2013/03/18
450,2013/03/19
450,2013/03/19
450,2013/03/20
450,2013/03/21
450,2013/03/22
650,2013/03/23
500,2013/03/25
600,2013/03/26
450,2013/03/28
650,2013/03/29
800,2013/03/30
600,2013/03/31
450,2013/04/01
800,2013/04/01
800,2013/04/01
550,2013/04/02
500,2013/04/03
650,2013/04/03
500,2013/04/04
900,2013/04/05
600,2013/04/06
1100,2013/04/06
550,2013/04/07
1300,2013/04/07
500,2013/04/08
1000,2013/04/08
450,2013/04/09
500,2013/04/10
500,2013/04/11
500,2013/04/12
900,2013/04/13
500,2013/04/14
550,2013/04/15
700,2013/04/15
500,2013/04/16
700,2013/04/16
500,2013/04/17
500,2013/04/18
500,2013/04/19
1000,2013/04/19
500,2013/04/21
550,2013/04/22
550,2013/04/23
600,2013/04/24
650,2013/04/25
700,2013/04/25
550,2013/04/28
550,2013/04/29
700,2013/04/29
500,2013/04/30
550,2013/05/03
500,2013/05/04
850,2013/05/05
800,2013/05/06
900,2013/05/07
850,2013/05/08
900,2013/05/09
600,2013/05/10
750,2013/05/12
800,2013/05/13
950,2013/05/15
1250,2013/05/16
1650,2013/05/19
1750,2013/05/21
1750,2013/05/23
1750,2013/05/24
2000,2013/05/26
1750,2013/05/27
2150,2013/05/29
1750,2013/05/30
1850,2013/05/31
2650,2013/06/14
800,2013/06/16
2100,2013/06/17
1750,2013/06/18
1750,2013/06/19
1750,2013/06/20
2000,2013/06/21
1000,2013/06/21
3000,2013/06/21
2000,2013/06/23
2000,2013/06/24
2900,2013/06/24
2050,2013/06/26
1750,2013/06/27
2000,2013/06/28
1850,2013/06/30
1600,2013/07/01
1850,2013/07/03
1750,2013/07/04
2250,2013/07/05
1500,2013/07/05
3200,2013/07/06
9000,2013/07/07
1950,2013/07/08
2000,2013/07/09
3200,2013/07/09
1350,2013/07/10
3200,2013/07/10
1850,2013/07/11
1700,2013/07/12
1750,2013/07/14
1850,2013/07/15
1700,2013/07/16
2900,2013/07/17
1850,2013/07/19
2550,2013/07/20
1850,2013/07/21
1600,2013/07/22
2500,2013/07/22
2000,2013/07/23
2750,2013/07/23
1850,2013/07/24
1750,2013/07/25
1800,2013/07/25
1500,2013/07/26
1400,2013/07/28
1500,2013/07/29
1200,2013/07/29
1400,2013/07/30
1400,2013/07/31
1000,2013/07/31
1600,2013/07/31
850,2013/08/01
1150,2013/08/02
1000,2013/08/08
600,2013/09/27
750,2013/09/30
750,2013/10/01
700,2013/10/03
950,2013/10/04
850,2013/10/07
1300,2013/10/08
1200,2013/10/10
1200,2013/10/11
1000,2013/10/11
1250,2013/10/15
1350,2013/10/16
1000,2013/10/16
1400,2013/10/17
1400,2013/10/18
1400,2013/10/21
1400,2013/10/22
1200,2013/10/29
1200,2013/10/30
1150,2013/10/31
1200,2013/11/06
1000,2013/11/06
1300,2013/11/08
1300,2013/11/10
1200,2013/11/11
800,2013/11/12
1100,2013/11/13
950,2013/11/14
1150,2013/11/18
1050,2013/11/19
1050,2013/11/20
1050,2013/11/21
950,2013/11/22
1000,2013/11/22
950,2013/11/24
600,2013/11/24
1050,2013/11/25
400,2013/11/25
1050,2013/11/26
1100,2013/11/27
950,2013/11/28
750,2013/11/29
1050,2013/12/01
950,2013/12/02
950,2013/12/03
1000,2013/12/04
750,2013/12/05
650,2013/12/06
1000,2013/12/06
950,2013/12/09
950,2013/12/10
850,2013/12/10
850,2013/12/11
950,2013/12/12
1000,2013/12/13
1100,2013/12/15
1100,2013/12/15
1000,2013/12/16
950,2013/12/17
950,2013/12/18
950,2013/12/19
900,2013/12/19
850,2013/12/20
500,2013/12/20
1000,2013/12/22
900,2013/12/23
850,2013/12/24
900,2013/12/26
1000,2013/12/26
800,2013/12/27
700,2013/12/29
700,2013/12/30
700,2013/12/31
500,2013/12/31
750,2014/01/01
800,2014/01/02
1000,2014/01/02
800,2014/01/03
500,2014/01/03
750,2014/01/04
850,2014/01/05
1000,2014/01/05
700,2014/01/06
750,2014/01/06
700,2014/01/07
800,2014/01/07
800,2014/01/08
800,2014/01/09
600,2014/01/09
800,2014/01/10
750,2014/01/10
1000,2014/01/11
800,2014/01/13
600,2014/01/15
800,2014/01/16
600,2014/01/16
800,2014/01/17
650,2014/01/17
1200,2014/01/18
600,2014/01/20
700,2014/01/21
700,2014/01/22
1100,2014/01/22
700,2014/01/23
700,2014/01/24
600,2014/01/24
1180,2014/01/24
1000,2014/01/25
1000,2014/01/27
1500,2014/01/27
1150,2014/01/27
700,2014/01/28
700,2014/01/29
600,2014/01/29
900,2014/01/29
600,2014/01/30
600,2014/01/30
700,2014/01/31
700,2014/01/31
600,2014/02/01
700,2014/02/03
400,2014/02/03
600,2014/02/04
400,2014/02/04
550,2014/02/05
600,2014/02/06
300,2014/02/06
600,2014/02/07
500,2014/02/10
1050,2014/02/10
600,2014/02/11
900,2014/02/12
600,2014/02/13
750,2014/02/13
550,2014/02/14
800,2014/02/14
650,2014/02/17
600,2014/02/17
600,2014/02/18
1150,2014/02/19
550,2014/02/20
550,2014/02/21
1000,2014/02/21
550,2014/02/24
1000,2014/02/24
500,2014/02/25
550,2014/02/26
1000,2014/02/26
500,2014/02/28
600,2014/03/01
450,2014/03/03
1000,2014/03/03
450,2014/03/04
500,2014/03/04
500,2014/03/05
650,2014/03/05
450,2014/03/06
450,2014/03/07
550,2014/03/07
500,2014/03/08
400,2014/03/09
650,2014/03/09
500,2014/03/10
400,2014/03/11
600,2014/03/12
450,2014/03/13
400,2014/03/14
900,2014/03/15
550,2014/03/16
800,2014/03/16
1000,2014/03/18
550,2014/03/19
450,2014/03/20
700,2014/03/20
550,2014/03/21
550,2014/03/24
550,2014/03/25
600,2014/03/25
500,2014/03/26
500,2014/03/27
450,2014/03/28
500,2014/03/29
500,2014/04/01
800,2014/04/01
450,2014/04/02
450,2014/04/03
550,2014/04/04
600,2014/04/05
450,2014/04/07
450,2014/04/09
1000,2014/04/09
1000,2014/04/15
400,2014/04/20
400,2014/04/21
400,2014/04/22
400,2014/04/23
400,2014/04/24
450,2014/04/25
1000,2014/04/26
400,2014/04/27
450,2014/04/28
400,2014/04/29
400,2014/04/30
500,2014/05/02
400,2014/05/04
400,2014/05/05
400,2014/05/06
550,2014/05/07
400,2014/05/08
400,2014/05/09
450,2014/05/12
400,2014/05/13
450,2014/05/14
500,2014/05/15
500,2014/05/16
600,2014/06/08
600,2014/06/16
550,2014/06/17
800,2014/06/22
550,2014/06/23
800,2014/06/23
550,2014/06/24
1000,2014/06/24
1200,2014/06/28
1000,2014/07/06
1200,2014/07/09
2400,2014/07/11
1850,2014/07/13
1000,2014/07/13
1050,2014/07/14
2250,2014/07/14
1100,2014/07/15
2300,2014/07/16
1100,2014/07/17
1050,2014/07/18
1000,2014/07/18
2200,2014/07/18
1000,2014/07/20
1100,2014/07/21
500,2014/07/21
2000,2014/07/21
1100,2014/07/22
2000,2014/07/22
1100,2014/07/23
1100,2014/07/24
1000,2014/07/25
500,2014/07/26
1100,2014/07/27
900,2014/07/27
1100,2014/07/28
700,2014/07/28
2000,2014/07/28
1100,2014/07/29
1150,2014/07/30
1000,2014/07/30
1800,2014/07/30
950,2014/07/31
1000,2014/07/31
1100,2014/08/01
2000,2014/08/02
1050,2014/08/03
1500,2014/08/03
950,2014/08/04
900,2014/08/05
750,2014/08/06
800,2014/08/06
850,2014/08/07
900,2014/08/07
1000,2014/08/08
1000,2014/08/08
1800,2014/08/08
600,2014/08/09
850,2014/08/10
800,2014/08/11
600,2014/08/11
750,2014/08/12
650,2014/08/12
650,2014/08/13
700,2014/08/13
650,2014/08/14
1000,2014/08/14
1000,2014/08/16
650,2014/08/17
1000,2014/08/17
600,2014/08/18
600,2014/08/19
650,2014/08/20
1500,2014/08/20
600,2014/08/21
600,2014/08/21
600,2014/08/22
500,2014/08/22
1500,2014/08/22
450,2014/08/24
1000,2014/08/24
650,2014/08/25
700,2014/08/25
700,2014/08/26
900,2014/08/26
750,2014/08/27
1000,2014/08/27
1600,2014/08/27
750,2014/08/28
600,2014/08/28
1600,2014/08/28
450,2014/08/29
550,2014/08/30
750,2014/08/31
600,2014/08/31
750,2014/09/01
500,2014/09/01
1500,2014/09/01
700,2014/09/02
600,2014/09/02
550,2014/09/03
800,2014/09/03
550,2014/09/04
500,2014/09/04
600,2014/09/05
700,2014/09/05
1550,2014/09/06
650,2014/09/07
650,2014/09/08
650,2014/09/10
1000,2014/09/10
650,2014/09/11
650,2014/09/12
2000,2014/09/12
500,2014/09/13
700,2014/09/14
1500,2014/09/14
600,2014/09/15
750,2014/09/16
750,2014/09/17
750,2014/09/18
750,2014/09/19
2400,2014/09/19
500,2014/09/20
750,2014/09/21
1100,2014/09/21
850,2014/09/22
800,2014/09/22
750,2014/09/23
950,2014/09/24
2500,2014/09/24
750,2014/09/25
650,2014/09/26
750,2014/09/26
1000,2014/09/26
600,2014/09/28
800,2014/09/29
800,2014/09/30
650,2014/10/01
1000,2014/10/04
800,2014/10/05
650,2014/10/07
1500,2014/10/07
600,2014/10/08
600,2014/10/09
600,2014/10/10
600,2014/10/10
800,2014/10/12
900,2014/10/12
900,2014/10/13
800,2014/10/14
2500,2014/10/14
800,2014/10/16
900,2014/10/17
800,2014/10/19
900,2014/10/20
2200,2014/10/20
1100,2014/10/21
900,2014/10/26
1300,2014/10/27
1100,2014/10/28
1100,2014/10/29
600,2014/10/29
1250,2014/10/30
1050,2014/10/31
1000,2014/11/02
1250,2014/11/03
1100,2014/11/03
1250,2014/11/05
1100,2014/11/07
1250,2014/11/09
1100,2014/11/10
1000,2014/11/10
3000,2014/11/10
1100,2014/11/11
1500,2014/11/11
1100,2014/11/12
1150,2014/11/13
1150,2014/11/14
1150,2014/11/17
1050,2014/11/19
1100,2014/11/19
1050,2014/11/20
1200,2014/11/20
1600,2014/11/20
1200,2014/11/21
1600,2014/11/21
950,2014/11/23
850,2014/11/24
900,2014/11/24
900,2014/11/25
900,2014/11/26
800,2014/11/26
900,2014/11/27
700,2014/11/28
1000,2014/11/29
950,2014/11/30
1000,2014/11/30
950,2014/12/01
700,2014/12/01
1050,2014/12/02
1000,2014/12/02
950,2014/12/04
2300,2014/12/04
950,2014/12/05
650,2014/12/05
1000,2014/12/05
1200,2014/12/06
1800,2014/12/06
1050,2014/12/07
800,2014/12/07
1100,2014/12/08
1200,2014/12/08
1000,2014/12/09
2000,2014/12/09
900,2014/12/10
1000,2014/12/10
900,2014/12/11
600,2014/12/11
800,2014/12/12
2000,2014/12/12
900,2014/12/14
900,2014/12/14
1200,2014/12/15
2000,2014/12/15
900,2014/12/16
1000,2014/12/16
900,2014/12/17
850,2014/12/17
1500,2014/12/17
900,2014/12/18
1000,2014/12/18
1500,2014/12/18
900,2014/12/19
900,2014/12/19
1300,2014/12/19
750,2014/12/20
900,2014/12/21
800,2014/12/21
1200,2014/12/21
900,2014/12/22
1000,2014/12/22
1500,2014/12/22
900,2014/12/23
500,2014/12/23
900,2014/12/24
500,2014/12/24
1050,2014/12/26
1050,2014/12/28
1500,2014/12/28
1200,2014/12/28
900,2014/12/29
1150,2014/12/30
500,2014/12/30
1400,2014/12/30
1150,2014/12/31
1050,2015/01/01
600,2015/01/01
950,2015/01/02
900,2015/01/05
1300,2015/01/05
900,2015/01/06
850,2015/01/07
550,2015/01/07
1250,2015/01/07
850,2015/01/08
700,2015/01/08
1200,2015/01/08
900,2015/01/09
500,2015/01/09
1300,2015/01/09
900,2015/01/11
900,2015/01/11
1600,2015/01/11
1600,2015/01/11
850,2015/01/14
850,2015/01/14
900,2015/01/16
900,2015/01/16
800,2015/01/16
800,2015/01/16
800,2015/01/17
800,2015/01/17
900,2015/01/18
700,2015/01/18
700,2015/01/18
1000,2015/01/18
1000,2015/01/18
900,2015/01/19
800,2015/01/19
1000,2015/01/19
800,2015/01/20
850,2015/01/20
950,2015/01/21
1150,2015/01/21
850,2015/01/22
1000,2015/01/22
750,2015/01/25
750,2015/01/27
800,2015/01/27
850,2015/01/28
850,2015/01/29
850,2015/01/30
1300,2015/01/30
850,2015/02/01
700,2015/02/01
750,2015/02/02
550,2015/02/02
750,2015/02/03
750,2015/02/04
600,2015/02/04
750,2015/02/05
650,2015/02/06
600,2015/02/06
1100,2015/02/06
1000,2015/02/07
750,2015/02/08
750,2015/02/09
650,2015/02/10
750,2015/02/11
800,2015/02/11
700,2015/02/12
650,2015/02/13
650,2015/02/15
650,2015/02/15
650,2015/02/16
700,2015/02/18
1000,2015/02/18
700,2015/02/22
650,2015/02/24
650,2015/02/25
1200,2015/02/25
650,2015/02/26
900,2015/02/28
700,2015/03/01
650,2015/03/02
800,2015/03/02
700,2015/03/03
600,2015/03/04
1000,2015/03/04
700,2015/03/05
1000,2015/03/05
600,2015/03/08
1200,2015/03/08
650,2015/03/09
600,2015/03/09
550,2015/03/10
750,2015/03/10
750,2015/03/11
650,2015/03/11
650,2015/03/12
750,2015/03/12
550,2015/03/13
800,2015/03/13
550,2015/03/14
700,2015/03/14
650,2015/03/15
800,2015/03/15
600,2015/03/16
500,2015/03/16
550,2015/03/17
800,2015/03/17
550,2015/03/18
550,2015/03/19
300,2015/03/19
550,2015/03/20
650,2015/03/22
550,2015/03/23
500,2015/03/23
550,2015/03/24
600,2015/03/24
600,2015/03/25
550,2015/03/26
600,2015/03/26
550,2015/03/27
400,2015/03/27
550,2015/03/29
800,2015/03/29
550,2015/03/30
500,2015/03/31
700,2015/03/31
750,2015/03/31
500,2015/04/01
700,2015/04/01
800,2015/04/01
500,2015/04/02
1500,2015/04/02
550,2015/04/03
550,2015/04/05
550,2015/04/06
800,2015/04/06
550,2015/04/07
800,2015/04/07
900,2015/04/07
550,2015/04/09
500,2015/04/10
1000,2015/04/10
550,2015/04/12
550,2015/04/15
1000,2015/04/15
550,2015/04/16
600,2015/04/16
400,2015/04/17
650,2015/04/17
900,2015/04/17
650,2015/04/18
1000,2015/04/18
550,2015/04/19
550,2015/04/23
1100,2015/04/23
500,2015/04/24
650,2015/04/24
550,2015/04/26
550,2015/04/27
1300,2015/04/27
450,2015/04/28
1200,2015/04/28
650,2015/04/29
1500,2015/04/29
2750,2015/04/29
450,2015/05/03
500,2015/05/05
600,2015/05/05
550,2015/05/06
1350,2015/05/06
400,2015/05/08
500,2015/05/10
1600,2015/05/11
450,2015/05/13
450,2015/05/14
450,2015/05/15
1450,2015/05/16
450,2015/05/17
450,2015/05/18
550,2015/05/19
500,2015/05/20
550,2015/05/21
500,2015/05/22
550,2015/05/24
550,2015/05/25
450,2015/05/26
1800,2015/05/26
500,2015/05/27
1700,2015/05/27
450,2015/05/28
550,2015/05/29
1400,2015/05/29
550,2015/05/31
550,2015/06/01
1000,2015/06/01
550,2015/06/02
1000,2015/06/02
550,2015/06/03
600,2015/06/04
1000,2015/06/05
850,2015/06/07
1080,2015/06/08
950,2015/06/09
950,2015/06/10
1500,2015/06/10
2550,2015/06/10
1200,2015/06/11
1250,2015/06/12
1100,2015/06/14
1000,2015/06/15
2200,2015/06/15
1000,2015/06/16
1050,2015/06/17
2200,2015/06/17
1000,2015/06/18
2000,2015/06/18
2000,2015/06/18
1100,2015/06/19
2000,2015/06/19
2000,2015/06/20
1200,2015/06/21
900,2015/06/25
1800,2015/06/26
2350,2015/06/26
1600,2015/06/27
800,2015/06/29
1200,2015/06/29
2000,2015/06/29
1000,2015/06/30
1000,2015/06/30
1830,2015/06/30
1500,2015/07/01
1700,2015/07/01
1500,2015/07/02
1000,2015/07/03
1600,2015/07/03
1800,2015/07/04
600,2015/07/05
2500,2015/07/05
1200,2015/07/06
200,2015/07/06
1000,2015/07/07
2100,2015/07/07
800,2015/07/08
1500,2015/07/08
1000,2015/07/09
1000,2015/07/10
1500,2015/07/12
1400,2015/07/13
2400,2015/07/13
500,2015/07/14
2400,2015/07/14
1200,2015/07/15
2440,2015/07/15
1200,2015/07/16
800,2015/07/17
1400,2015/07/19
1200,2015/07/20
2433,2015/07/20
1200,2015/07/21
1200,2015/07/21
1500,2015/07/22
1900,2015/07/22
1500,2015/07/23
800,2015/07/23
700,2015/07/24
1200,2015/07/26
1000,2015/07/27
2130,2015/07/27
800,2015/07/28
2100,2015/07/28
1400,2015/07/29
2000,2015/07/29
1300,2015/07/30
1700,2015/07/30
1000,2015/07/31
2000,2015/08/01
700,2015/08/02
1000,2015/08/03
1000,2015/08/04
2330,2015/08/04
1400,2015/08/05
2150,2015/08/05
800,2015/08/06
1000,2015/08/07
1000,2015/08/09
1200,2015/08/10
1000,2015/08/10
1860,2015/08/10
1100,2015/08/11
900,2015/08/12
800,2015/08/13
2000,2015/08/13
1960,2015/08/13
1000,2015/08/14
1800,2015/08/14
800,2015/08/16
1200,2015/08/18
1000,2015/08/19
1930,2015/08/19
1000,2015/08/20
800,2015/08/21
1730,2015/08/21
800,2015/08/23
700,2015/08/24
1000,2015/08/24
700,2015/08/25
800,2015/08/25
800,2015/08/26
1000,2015/08/26
1400,2015/08/26
700,2015/08/27
1000,2015/08/27
600,2015/08/28
900,2015/08/28
1360,2015/08/28
800,2015/08/30
600,2015/08/31
1600,2015/08/31
600,2015/09/01
1000,2015/09/01
600,2015/09/02
1400,2015/09/02
700,2015/09/03
600,2015/09/04
1000,2015/09/04
900,2015/09/05
600,2015/09/07
1000,2015/09/07
800,2015/09/07
600,2015/09/08
1200,2015/09/08
700,2015/09/09
1400,2015/09/09
600,2015/09/10
700,2015/09/10
600,2015/09/11
1600,2015/09/11
600,2015/09/14
600,2015/09/14
600,2015/09/15
700,2015/09/15
1130,2015/09/15
600,2015/09/16
600,2015/09/18
600,2015/09/20
600,2015/09/21
600,2015/09/22
600,2015/09/23
1500,2015/09/23
800,2015/09/24
700,2015/09/24
800,2015/09/25
1500,2015/09/26
600,2015/09/27
800,2015/09/29
700,2015/09/29
1000,2015/09/29
500,2015/09/30
900,2015/10/01
1000,2015/10/01
800,2015/10/02
1100,2015/10/03
900,2015/10/04
1000,2015/10/04
800,2015/10/05
600,2015/10/05
1200,2015/10/05
800,2015/10/06
700,2015/10/07
700,2015/10/07
600,2015/10/08
700,2015/10/09
1670,2015/10/09
800,2015/10/11
800,2015/10/12
2130,2015/10/12
700,2015/10/13
700,2015/10/14
800,2015/10/14
1500,2015/10/14
800,2015/10/15
1200,2015/10/15
800,2015/10/16
1800,2015/10/16
1500,2015/10/17
800,2015/10/18
800,2015/10/19
600,2015/10/20
600,2015/10/21
600,2015/10/27
700,2015/10/28
2000,2015/10/28
700,2015/10/30
1600,2015/10/30
1600,2015/10/31
600,2015/11/01
900,2015/11/02
800,2015/11/03
800,2015/11/04
1540,2015/11/04
700,2015/11/05
1000,2015/11/05
600,2015/11/06
1200,2015/11/06
800,2015/11/08
1700,2015/11/17
1000,2015/11/17
1200,2015/11/18
1300,2015/11/19
1300,2015/11/20
1730,2015/11/21
700,2015/11/22
700,2015/11/23
1600,2015/11/23
800,2015/11/25
600,2015/11/26
900,2015/11/27
1000,2015/11/29
2000,2015/11/30
